날짜,순위,제목,가수
2024-10-20,94,Seven (feat. Latto) - Clean Ver.,정국
2024-10-20,95,도와줘요 Rock&Roll,DAY6 (데이식스)
2024-10-20,96,꿈,태연 (TAEYEON)
2024-10-20,97,Get Loud,KISS OF LIFE
2024-10-20,98,괴물,DAY6 (데이식스)
2024-10-20,99,Balloon in Love,선미
2024-10-20,100,Electric Shock,강다니엘(KANG DANIEL)
2024-10-21,1,APT.,로제(ROSÉ)
2024-10-21,2,Mantra,제니 (JENNIE)
2024-10-21,3,UP (KARINA Solo),aespa
2024-10-21,4,Whiplash,aespa
2024-10-21,5,내 이름 맑음,QWER
2024-10-21,6,HAPPY,DAY6 (데이식스)
2024-10-21,7,Supernova,aespa
2024-10-21,8,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-10-21,9,녹아내려요,DAY6 (데이식스)
2024-10-21,10,달랐을까,PLAVE
2024-10-21,11,Drowning,WOODZ
2024-10-21,12,Welcome to the Show,DAY6 (데이식스)
2024-10-21,13,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-10-21,14,Supernatural,NewJeans
2024-10-21,15,고민중독,QWER
2024-10-21,16,한 페이지가 될 수 있게,DAY6 (데이식스)
